FILE,MD5SUM,TIMESTAMP
/bin/python3,9822d4931aea8fb83f794d2d54c3c992,REDACTED
DECIMAL,HEXADECIMAL,ENTROPY
1570816,1570816,0.777652
1573888,1573888,0.804498
1576960,1576960,0.786090
1580032,1580032,0.790593
1583104,1583104,0.793882
1586176,1586176,0.795312
1589248,1589248,0.784338
1592320,1592320,0.779038
1595392,1595392,0.793528
1598464,1598464,0.786878
1601536,1601536,0.778278
1604608,1604608,0.786911
1607680,1607680,0.797211
1610752,1610752,0.809734
1613824,1613824,0.798755
1616896,1616896,0.782086
1619968,1619968,0.782455
1623040,1623040,0.794398
1626112,1626112,0.795993
1629184,1629184,0.792378
1632256,1632256,0.804395
1635328,1635328,0.781123
1638400,1638400,0.793029
1641472,1641472,0.802377
1644544,1644544,0.798667
1647616,1647616,0.807064
1650688,1650688,0.778602
1653760,1653760,0.766033
1656832,1656832,0.791452
1659904,1659904,0.805213
1662976,1662976,0.809503
1666048,1666048,0.799697
1669120,1669120,0.787472
1672192,1672192,0.793591
1675264,1675264,0.776198
1678336,1678336,0.774696
1681408,1681408,0.773240
1684480,1684480,0.783276
1687552,1687552,0.775856
1690624,1690624,0.789477
1693696,1693696,0.773721
1696768,1696768,0.786707
1699840,1699840,0.775309
1702912,1702912,0.720104
1705984,1705984,0.734774
1709056,1709056,0.764492
1712128,1712128,0.767711
1715200,1715200,0.793498
1718272,1718272,0.782164
1721344,1721344,0.766133
1724416,1724416,0.802417
1727488,1727488,0.769105
1730560,1730560,0.767381
1733632,1733632,0.773168
1736704,1736704,0.762049
1739776,1739776,0.786088
1742848,1742848,0.791467
1745920,1745920,0.789401
1748992,1748992,0.791284
1752064,1752064,0.793599
1755136,1755136,0.782129
1758208,1758208,0.798764
1761280,1761280,0.798444
1764352,1764352,0.793965
1767424,1767424,0.791163
1770496,1770496,0.779893
1773568,1773568,0.794956
1776640,1776640,0.792000
1779712,1779712,0.782256
1782784,1782784,0.783798
1785856,1785856,0.775922
1788928,1788928,0.773993
1792000,1792000,0.794510
1795072,1795072,0.791063
1798144,1798144,0.795126
1801216,1801216,0.786244
1804288,1804288,0.789389
1807360,1807360,0.796043
1810432,1810432,0.788533
1813504,1813504,0.790801
1816576,1816576,0.799511
1819648,1819648,0.771703
1822720,1822720,0.775103
1825792,1825792,0.765727
1828864,1828864,0.782955
1831936,1831936,0.770344
1835008,1835008,0.774552
1838080,1838080,0.764220
1841152,1841152,0.774190
1844224,1844224,0.781002
1847296,1847296,0.766202
1850368,1850368,0.804111
1853440,1853440,0.799880
1856512,1856512,0.785926
1859584,1859584,0.781142
1862656,1862656,0.790637
1865728,1865728,0.794095
1868800,1868800,0.788445
1871872,1871872,0.790926
1874944,1874944,0.791886
1878016,1878016,0.796106
1881088,1881088,0.790112
1884160,1884160,0.773132
1887232,1887232,0.785048
1890304,1890304,0.770769
1893376,1893376,0.779274
1896448,1896448,0.776793
1899520,1899520,0.775021
1902592,1902592,0.775492
1905664,1905664,0.773532
1908736,1908736,0.775154
1911808,1911808,0.787880
1914880,1914880,0.789400
1917952,1917952,0.807698
1921024,1921024,0.817620
1924096,1924096,0.792275
1927168,1927168,0.780557
1930240,1930240,0.799040
1933312,1933312,0.798580
1936384,1936384,0.777199
1939456,1939456,0.765092
1942528,1942528,0.787758
1945600,1945600,0.761243
1948672,1948672,0.780774
1951744,1951744,0.793391
1954816,1954816,0.797163
1957888,1957888,0.800038
1960960,1960960,0.812877
1964032,1964032,0.790968
1967104,1967104,0.807571
1970176,1970176,0.813265
1973248,1973248,0.809513
1976320,1976320,0.795294
1979392,1979392,0.803218
1982464,1982464,0.792690
1985536,1985536,0.800328
1988608,1988608,0.792123
1991680,1991680,0.799900
1994752,1994752,0.785365
1997824,1997824,0.787006
2000896,2000896,0.778862
2003968,2003968,0.781518
2007040,2007040,0.783337
2010112,2010112,0.793937
2013184,2013184,0.813996
2016256,2016256,0.789098
2019328,2019328,0.797280
2022400,2022400,0.774236
2025472,2025472,0.780584
2028544,2028544,0.794416
2031616,2031616,0.782663
2034688,2034688,0.792923
2037760,2037760,0.802461
2040832,2040832,0.786049
2043904,2043904,0.789227
2046976,2046976,0.776055
2050048,2050048,0.761728
2053120,2053120,0.737981
2056192,2056192,0.777925
2059264,2059264,0.785096
2062336,2062336,0.782917
2065408,2065408,0.803726
2068480,2068480,0.784136
2071552,2071552,0.805134
2074624,2074624,0.630395
2077696,2077696,0.690737
2080768,2080768,0.800620
2083840,2083840,0.806045
2086912,2086912,0.779922
2089984,2089984,0.783911
2093056,2093056,0.771599
2096128,2096128,0.791857
2097152,2097152,0.790389
2100224,2100224,0.792036
2103296,2103296,0.799395
2106368,2106368,0.792991
2109440,2109440,0.798843
2112512,2112512,0.785330
2115584,2115584,0.753156
2118656,2118656,0.736227
2121728,2121728,0.745673
2124800,2124800,0.741422
2127872,2127872,0.737748
2130944,2130944,0.743033
2134016,2134016,0.747120
2137088,2137088,0.740835
2140160,2140160,0.779231
2143232,2143232,0.769700
2146304,2146304,0.763171
2149376,2149376,0.741280
2152448,2152448,0.723199
2155520,2155520,0.751983
2158592,2158592,0.700991
2161664,2161664,0.764320
2164736,2164736,0.705990
2167808,2167808,0.772796
2170880,2170880,0.774753
2173952,2173952,0.785612
2177024,2177024,0.785865
2180096,2180096,0.789327
2183168,2183168,0.784290
2186240,2186240,0.803598
2189312,2189312,0.818772
2192384,2192384,0.795121
2195456,2195456,0.795849
2198528,2198528,0.781922
2201600,2201600,0.778584
2204672,2204672,0.793918
2207744,2207744,0.790971
2210816,2210816,0.778708
2213888,2213888,0.808384
2216960,2216960,0.795845
2220032,2220032,0.790815
2223104,2223104,0.766506
2226176,2226176,0.786556
2229248,2229248,0.776440
2232320,2232320,0.788526
2235392,2235392,0.646648
2238464,2238464,0.655570
2241536,2241536,0.803642
2244608,2244608,0.708683
2247680,2247680,0.699956
2250752,2250752,0.776661
2253824,2253824,0.786285
2256896,2256896,0.790925
2259968,2259968,0.784164
2263040,2263040,0.761142
2266112,2266112,0.694859
2269184,2269184,0.686047
2272256,2272256,0.683956
2275328,2275328,0.680712
2278400,2278400,0.686887
2281472,2281472,0.683522
2284544,2284544,0.739914
2287616,2287616,0.686612
2290688,2290688,0.683002
2293760,2293760,0.680837
2296832,2296832,0.685449
2299904,2299904,0.686038
2302976,2302976,0.796372
2306048,2306048,0.809435
2309120,2309120,0.767276
2312192,2312192,0.697343
2315264,2315264,0.807259
2318336,2318336,0.777739
2321408,2321408,0.803249
2324480,2324480,0.711994
2327552,2327552,0.711705
2330624,2330624,0.799270
2333696,2333696,0.795897
2336768,2336768,0.793645
2339840,2339840,0.662873
2342912,2342912,0.800336
2345984,2345984,0.777413
2349056,2349056,0.775105
2352128,2352128,0.773574
2355200,2355200,0.777320
2358272,2358272,0.804693
2361344,2361344,0.806585
2364416,2364416,0.801347
2367488,2367488,0.796938
2370560,2370560,0.778270
2373632,2373632,0.786405
2376704,2376704,0.796984
2379776,2379776,0.776980
2382848,2382848,0.783280
2385920,2385920,0.768850
2388992,2388992,0.798806
2392064,2392064,0.782007
2395136,2395136,0.792184
2398208,2398208,0.761919
2401280,2401280,0.718280
2404352,2404352,0.682822
2407424,2407424,0.817140
2410496,2410496,0.756556
2413568,2413568,0.788347
2416640,2416640,0.778167
2419712,2419712,0.776125
2422784,2422784,0.782252
2425856,2425856,0.787893
2428928,2428928,0.806938
2432000,2432000,0.811921
2435072,2435072,0.790034
2438144,2438144,0.784822
2441216,2441216,0.807339
2444288,2444288,0.808078
2447360,2447360,0.784950
2450432,2450432,0.765823
2453504,2453504,0.786786
2456576,2456576,0.777583
2459648,2459648,0.795630
2462720,2462720,0.808293
2465792,2465792,0.774421
2468864,2468864,0.779873
2471936,2471936,0.796977
2475008,2475008,0.757093
2478080,2478080,0.763750
2481152,2481152,0.774024
2484224,2484224,0.774632
2487296,2487296,0.782828
2490368,2490368,0.782340
2493440,2493440,0.763687
2496512,2496512,0.791985
2499584,2499584,0.792802
2502656,2502656,0.783682
2505728,2505728,0.773305
2508800,2508800,0.786665
2511872,2511872,0.787823
2514944,2514944,0.774024
2518016,2518016,0.779561
2521088,2521088,0.783517
2524160,2524160,0.798240
2527232,2527232,0.817068
2530304,2530304,0.798263
2533376,2533376,0.795960
2536448,2536448,0.793628
2539520,2539520,0.807522
2542592,2542592,0.798897
2545664,2545664,0.793767
2548736,2548736,0.784198
2551808,2551808,0.792032
2554880,2554880,0.768237
2557952,2557952,0.760306
2561024,2561024,0.770536
2564096,2564096,0.786446
2567168,2567168,0.798902
2570240,2570240,0.775426
2573312,2573312,0.785046
2576384,2576384,0.805874
2579456,2579456,0.803577
2582528,2582528,0.812811
2585600,2585600,0.801848
2588672,2588672,0.785452
2591744,2591744,0.778012
2594816,2594816,0.778268
2597888,2597888,0.801812
2600960,2600960,0.771219
2604032,2604032,0.797547
2607104,2607104,0.774101
2610176,2610176,0.782695
2613248,2613248,0.763150
2616320,2616320,0.795872
2619392,2619392,0.784688
2622464,2622464,0.748068
2625536,2625536,0.764936
2628608,2628608,0.752087
2631680,2631680,0.747270
2634752,2634752,0.765461
2637824,2637824,0.783898
2640896,2640896,0.793118
2643968,2643968,0.795331
2647040,2647040,0.789065
2650112,2650112,0.770837
2653184,2653184,0.788629
2656256,2656256,0.797106
2659328,2659328,0.781007
2662400,2662400,0.784587
2665472,2665472,0.796465
2668544,2668544,0.804307
2671616,2671616,0.788415
2674688,2674688,0.783586
2677760,2677760,0.785024
2680832,2680832,0.733699
2683904,2683904,0.607888
2686976,2686976,0.611334
2690048,2690048,0.718382
2693120,2693120,0.798742
2696192,2696192,0.803103
2699264,2699264,0.771407
2702336,2702336,0.799483
2705408,2705408,0.804767
2708480,2708480,0.787531
2711552,2711552,0.789818
2714624,2714624,0.795302
2717696,2717696,0.795267
2720768,2720768,0.802086
2723840,2723840,0.813306
2726912,2726912,0.799129
2729984,2729984,0.819399
2733056,2733056,0.793924
2736128,2736128,0.806764
2739200,2739200,0.805026
2742272,2742272,0.811499
2745344,2745344,0.795135
2748416,2748416,0.794294
2751488,2751488,0.789692
2754560,2754560,0.785757
2757632,2757632,0.790114
2760704,2760704,0.778887
2763776,2763776,0.801945
2766848,2766848,0.786453
2769920,2769920,0.789594
2772992,2772992,0.787583
2776064,2776064,0.792705
2779136,2779136,0.795347
2782208,2782208,0.811934
2785280,2785280,0.793706
2788352,2788352,0.798493
2791424,2791424,0.785634
2794496,2794496,0.799236
2797568,2797568,0.784186
2800640,2800640,0.793051
2803712,2803712,0.804269
2806784,2806784,0.800688
2809856,2809856,0.815963
2812928,2812928,0.758173
2816000,2816000,0.804753
2819072,2819072,0.789310
2822144,2822144,0.778724
2825216,2825216,0.775997
2828288,2828288,0.805078
2831360,2831360,0.776282
2834432,2834432,0.801011
2837504,2837504,0.795334
2840576,2840576,0.780640
2843648,2843648,0.785945
2846720,2846720,0.340704
2849792,2849792,0.475585
2852864,2852864,0.597474
2855936,2855936,0.560160
2859008,2859008,0.613959
2862080,2862080,0.569229
2865152,2865152,0.570980
2868224,2868224,0.564778
2871296,2871296,0.576325
2874368,2874368,0.593973
2877440,2877440,0.580903
2880512,2880512,0.564322
2883584,2883584,0.569414
2886656,2886656,0.575516
2889728,2889728,0.531651
2892800,2892800,0.587080
2895872,2895872,0.576859
2898944,2898944,0.605438
2902016,2902016,0.579585
2905088,2905088,0.576450
2908160,2908160,0.596442
2911232,2911232,0.588318
2914304,2914304,0.576786
2917376,2917376,0.583175
2920448,2920448,0.592898
2923520,2923520,0.610336
2926592,2926592,0.536401
2929664,2929664,0.606586
2932736,2932736,0.596940
2935808,2935808,0.604114
2938880,2938880,0.594600
2941952,2941952,0.588698
2945024,2945024,0.604471
2948096,2948096,0.335590
2951168,2951168,0.598468
2954240,2954240,0.562981
2957312,2957312,0.558533
2960384,2960384,0.560397
2963456,2963456,0.562823
2966528,2966528,0.550150
2969600,2969600,0.561155
2972672,2972672,0.592853
2975744,2975744,0.594104
2978816,2978816,0.602656
2981888,2981888,0.584304
2984960,2984960,0.710759
2988032,2988032,0.600864
2991104,2991104,0.619010
2994176,2994176,0.686176
2997248,2997248,0.642259
3000320,3000320,0.579957
3003392,3003392,0.585206
3006464,3006464,0.597943
3009536,3009536,0.597247
3012608,3012608,0.555309
3015680,3015680,0.134255
3018752,3018752,0.135479
3021824,3021824,0.179203
3024896,3024896,0.116628
3027968,3027968,0.129587
3031040,3031040,0.134098
3034112,3034112,0.119571
3037184,3037184,0.122988
3040256,3040256,0.123518
3043328,3043328,0.129161
3046400,3046400,0.214811
3049472,3049472,0.000000
3052544,3052544,0.101542
3055616,3055616,0.338518
3058688,3058688,0.402586
3061760,3061760,0.149842
3064832,3064832,0.040554
3067904,3067904,0.539457
3070976,3070976,0.300120
3074048,3074048,0.531592
3077120,3077120,0.778220
3080192,3080192,0.412853
3083264,3083264,0.684080
3086336,3086336,0.170842
3089408,3089408,0.000000
3092480,3092480,0.000000
3095552,3095552,0.287139
3098624,3098624,0.384385
3101696,3101696,0.315458
3104768,3104768,0.319917
3107840,3107840,0.348739
3110912,3110912,0.414336
3113984,3113984,0.380872
3117056,3117056,0.422110
3120128,3120128,0.381610
3123200,3123200,0.401689
3126272,3126272,0.398486
3129344,3129344,0.360615
3132416,3132416,0.393798
3135488,3135488,0.389554
3138560,3138560,0.282450
3141632,3141632,0.342995
3144704,3144704,0.350473
3145728,3145728,0.384868
3148800,3148800,0.408746
3151872,3151872,0.269738
3154944,3154944,0.209863
3158016,3158016,0.210993
3161088,3161088,0.194566
3164160,3164160,0.155178
3167232,3167232,0.089371
3170304,3170304,0.090079
3173376,3173376,0.323786
3176448,3176448,0.426359
3179520,3179520,0.327092
3182592,3182592,0.281110
3185664,3185664,0.215279
3188736,3188736,0.299107
3191808,3191808,0.393639
3194880,3194880,0.317723
3197952,3197952,0.350655
3201024,3201024,0.339152
3204096,3204096,0.304933
3207168,3207168,0.354121
3210240,3210240,0.342365
3213312,3213312,0.243008
3216384,3216384,0.270072
3219456,3219456,0.209273
3222528,3222528,0.165688
3225600,3225600,0.201884
3228672,3228672,0.247197
3231744,3231744,0.297584
3234816,3234816,0.282286
3237888,3237888,0.174345
3240960,3240960,0.294694
3244032,3244032,0.294615
3247104,3247104,0.125000
3250176,3250176,0.125000
3253248,3253248,0.125000
3256320,3256320,0.161560
3259392,3259392,0.474110
3262464,3262464,0.574816
3265536,3265536,0.557253
3268608,3268608,0.583670
3271680,3271680,0.550107
3274752,3274752,0.579484
3277824,3277824,0.555586
3280896,3280896,0.542307
3283968,3283968,0.569739
3287040,3287040,0.575653
3290112,3290112,0.542040
3293184,3293184,0.578383
3296256,3296256,0.541292
3299328,3299328,0.559958
3302400,3302400,0.613673
3305472,3305472,0.576973
3308544,3308544,0.577371
3311616,3311616,0.507136
3314688,3314688,0.517665
3317760,3317760,0.525869
3320832,3320832,0.524120
3323904,3323904,0.522103
3326976,3326976,0.570154
3330048,3330048,0.576490
3333120,3333120,0.582401
3336192,3336192,0.575818
3339264,3339264,0.576678
3342336,3342336,0.578845
3345408,3345408,0.480824
3348480,3348480,0.481141
3351552,3351552,0.480526
3354624,3354624,0.551784
3357696,3357696,0.474950
3360768,3360768,0.528048
3363840,3363840,0.601298
3366912,3366912,0.569032
3369984,3369984,0.444853
3373056,3373056,0.588293
3376128,3376128,0.546855
3379200,3379200,0.552338
3382272,3382272,0.555082
3385344,3385344,0.557918
3388416,3388416,0.558673
3391488,3391488,0.557420
3394560,3394560,0.552743
